,Date,month,dayname,weekend,Hour,Hour_cat,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (mm),WEP (mm),Seasons,Holiday,Functioning Day,Rented Bike Count
0,2017-12-01,12,Friday,0,0,Dawn,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,254
1,2017-12-01,12,Friday,0,1,Dawn,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,204
2,2017-12-01,12,Friday,0,2,Dawn,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,173
3,2017-12-01,12,Friday,0,3,Dawn,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,107
4,2017-12-01,12,Friday,0,4,Dawn,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,78
5,2017-12-01,12,Friday,0,5,Dawn,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,100
6,2017-12-01,12,Friday,0,6,Dawn,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,181
7,2017-12-01,12,Friday,0,7,Early Morning,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,460
8,2017-12-01,12,Friday,0,8,Early Morning,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,0.0,Winter,No Holiday,Yes,930
9,2017-12-01,12,Friday,0,9,Early Morning,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,0.0,Winter,No Holiday,Yes,490
10,2017-12-01,12,Friday,0,10,Morning,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,0.0,Winter,No Holiday,Yes,339
11,2017-12-01,12,Friday,0,11,Morning,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,0.0,Winter,No Holiday,Yes,360
12,2017-12-01,12,Friday,0,12,Morning,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,0.0,Winter,No Holiday,Yes,449
13,2017-12-01,12,Friday,0,13,Afternoon,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,0.0,Winter,No Holiday,Yes,451
14,2017-12-01,12,Friday,0,14,Afternoon,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,0.0,Winter,No Holiday,Yes,447
15,2017-12-01,12,Friday,0,15,Afternoon,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,0.0,Winter,No Holiday,Yes,463
16,2017-12-01,12,Friday,0,16,Afternoon,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,0.0,Winter,No Holiday,Yes,484
17,2017-12-01,12,Friday,0,17,Afternoon,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,0.0,Winter,No Holiday,Yes,555
18,2017-12-01,12,Friday,0,18,Evening,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,862
19,2017-12-01,12,Friday,0,19,Evening,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,600
20,2017-12-01,12,Friday,0,20,Evening,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,426
21,2017-12-01,12,Friday,0,21,Evening,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,405
22,2017-12-01,12,Friday,0,22,Night,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,398
23,2017-12-01,12,Friday,0,23,Night,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,323
24,2017-12-02,12,Saturday,1,0,Dawn,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,328
25,2017-12-02,12,Saturday,1,1,Dawn,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,308
26,2017-12-02,12,Saturday,1,2,Dawn,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,262
27,2017-12-02,12,Saturday,1,3,Dawn,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,167
28,2017-12-02,12,Saturday,1,4,Dawn,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,89
29,2017-12-02,12,Saturday,1,5,Dawn,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,79
30,2017-12-02,12,Saturday,1,6,Dawn,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,70
31,2017-12-02,12,Saturday,1,7,Early Morning,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,146
32,2017-12-02,12,Saturday,1,8,Early Morning,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,0.0,Winter,No Holiday,Yes,219
33,2017-12-02,12,Saturday,1,9,Early Morning,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,0.0,Winter,No Holiday,Yes,328
