Date,Rented Bike Count,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,id
05/06/2018,742,1,20.0,67,0.7,1426,13.6,0.0,0.0,0.0,Summer,No Holiday,Yes,10019
30/10/2018,1442,19,8.0,52,2.1,2000,-1.2,0.0,0.0,0.0,Autumn,No Holiday,Yes,13982
05/10/2018,23,12,16.6,90,1.7,518,14.9,0.51,2.0,0.0,Autumn,No Holiday,Yes,12391
11/02/2018,93,2,-7.0,42,1.6,2000,-17.7,0.0,0.0,0.0,Winter,No Holiday,Yes,11580
28/04/2018,152,5,10.9,81,1.7,348,7.7,0.0,0.0,0.0,Spring,No Holiday,Yes,12042
25/06/2018,1184,15,32.7,31,1.7,1243,13.3,2.3,0.0,0.0,Summer,No Holiday,Yes,12448
13/10/2018,148,5,6.7,81,1.1,1467,3.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,10931
23/01/2018,117,22,-13.9,45,4.0,2000,-23.2,0.0,0.0,0.9,Winter,No Holiday,Yes,15928
24/04/2018,2318,18,14.1,43,1.6,2000,1.6,0.36,0.0,0.0,Spring,No Holiday,Yes,15136
30/08/2018,771,7,24.3,96,1.4,1025,23.6,0.04,0.0,0.0,Summer,No Holiday,Yes,11065
05/12/2017,529,17,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,Winter,No Holiday,Yes,13792
12/10/2018,1996,8,6.0,64,1.1,1920,-0.3,0.42,0.0,0.0,Autumn,No Holiday,Yes,16655
27/12/2017,231,14,-4.0,18,2.4,2000,-24.8,1.09,0.0,0.0,Winter,No Holiday,Yes,14423
25/02/2018,77,7,-1.0,47,0.9,1552,-10.9,0.0,0.0,0.0,Winter,No Holiday,Yes,13084
02/05/2018,413,1,19.6,75,2.1,392,15.0,0.0,0.0,0.0,Spring,No Holiday,Yes,11724
26/04/2018,180,5,10.2,73,0.8,1137,5.5,0.0,0.0,0.0,Spring,No Holiday,Yes,15470
26/08/2018,782,15,24.3,64,1.8,1931,17.0,0.59,0.0,0.0,Summer,No Holiday,Yes,14704
21/04/2018,1130,12,24.3,14,3.3,1701,-4.9,3.19,0.0,0.0,Spring,No Holiday,Yes,15463
03/11/2018,0,2,7.6,68,1.2,1170,2.0,0.0,0.0,0.0,Autumn,No Holiday,No,17439
23/02/2018,184,10,2.2,83,0.8,221,-0.3,0.92,0.0,3.7,Winter,No Holiday,Yes,12068
31/10/2018,402,6,3.6,75,0.8,2000,-0.4,0.0,0.0,0.0,Autumn,No Holiday,Yes,16496
07/03/2018,410,10,5.2,52,1.5,1808,-3.8,0.74,0.0,0.0,Spring,No Holiday,Yes,15618
10/06/2018,150,3,18.6,78,0.8,1997,14.6,0.0,0.0,0.0,Summer,No Holiday,Yes,12186
14/02/2018,108,6,1.1,66,0.9,1550,-4.5,0.0,0.0,0.0,Winter,No Holiday,Yes,11590
24/12/2017,266,0,5.6,78,0.6,196,2.0,0.0,0.0,0.0,Winter,Holiday,Yes,18106
24/10/2018,1464,21,12.1,67,1.0,1977,6.1,0.0,0.0,0.0,Autumn,No Holiday,Yes,13028
03/12/2017,22,7,3.1,91,1.2,129,1.7,0.0,0.0,0.0,Winter,No Holiday,Yes,18000
01/08/2018,1550,8,30.3,59,0.8,1920,21.3,1.02,0.0,0.0,Summer,No Holiday,Yes,11126
04/08/2018,1277,19,32.0,57,2.9,2000,22.4,0.48,0.0,0.0,Summer,No Holiday,Yes,17826
20/01/2018,334,14,5.9,61,3.2,623,-1.0,0.52,0.0,0.0,Winter,No Holiday,Yes,14847
18/05/2018,210,7,16.6,98,0.6,219,16.2,0.01,0.5,0.0,Spring,No Holiday,Yes,18454
09/02/2018,178,0,-4.6,38,0.1,1551,-16.7,0.0,0.0,0.0,Winter,No Holiday,Yes,17003
15/02/2018,240,13,2.2,18,3.4,1942,-19.7,2.3,0.0,0.0,Winter,Holiday,Yes,18372
14/04/2018,17,9,7.5,94,1.5,506,6.5,0.15,1.5,0.0,Spring,No Holiday,Yes,16933
04/03/2018,23,7,8.4,97,2.6,122,7.9,0.0,0.0,0.0,Spring,No Holiday,Yes,12240
08/10/2018,1238,12,19.2,31,0.5,1994,1.6,2.4,0.0,0.0,Autumn,No Holiday,Yes,17585
18/10/2018,1466,21,12.6,60,0.5,2000,5.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,12700
12/02/2018,190,11,-6.1,25,2.8,1976,-22.9,1.28,0.0,0.0,Winter,No Holiday,Yes,12020
19/07/2018,2640,18,33.0,51,2.4,1566,21.5,1.23,0.0,0.0,Summer,No Holiday,Yes,10797
11/03/2018,419,22,5.3,31,2.3,1842,-10.5,0.0,0.0,0.0,Spring,No Holiday,Yes,14676
08/11/2018,19,19,12.8,97,0.9,245,12.3,0.0,0.0,0.0,Autumn,No Holiday,Yes,11749
13/09/2018,736,1,21.5,65,1.0,2000,14.6,0.0,0.0,0.0,Autumn,No Holiday,Yes,11504
16/02/2018,210,17,2.5,48,4.2,1979,-7.4,0.76,0.0,0.0,Winter,Holiday,Yes,10183
03/05/2018,1421,17,13.2,49,4.2,1999,2.7,0.69,0.0,0.0,Spring,No Holiday,Yes,15616
29/10/2018,1888,8,5.1,67,0.3,1981,-0.5,0.24,0.0,0.0,Autumn,No Holiday,Yes,13694
14/08/2018,209,4,28.1,71,0.4,2000,22.3,0.0,0.0,0.0,Summer,No Holiday,Yes,16425
01/06/2018,1219,9,23.1,52,1.7,1012,12.6,1.88,0.0,0.0,Summer,No Holiday,Yes,16677
28/11/2018,450,0,5.1,36,2.2,774,-8.7,0.0,0.0,0.0,Autumn,No Holiday,Yes,14319
22/09/2018,654,8,18.2,86,0.0,858,15.8,0.48,0.0,0.0,Autumn,No Holiday,Yes,15900
25/02/2018,402,18,5.2,30,2.8,1877,-11.0,0.36,0.0,0.0,Winter,No Holiday,Yes,15244
26/08/2018,381,7,20.7,85,0.5,1052,18.0,0.11,0.0,0.0,Summer,No Holiday,Yes,15588
09/11/2018,0,21,11.4,74,1.9,498,6.9,0.0,0.0,0.0,Autumn,No Holiday,No,17213
08/07/2018,267,6,17.8,58,1.1,2000,9.4,0.04,0.0,0.0,Summer,No Holiday,Yes,10465
