id,Date,month,dayname,weekend,Hour,Hour_cat,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (mm),WEP (mm),Seasons,Holiday,Functioning Day,Rented Bike Count
10019,2018-06-05,6,Tuesday,0,1,Dawn,20.0,67,0.7,1426,13.6,0.0,0.0,0.0,0.0,Summer,No Holiday,Yes,742
13982,2018-10-30,10,Tuesday,0,19,Evening,8.0,52,2.1,2000,-1.2,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,1442
12391,2018-10-05,10,Friday,0,12,Morning,16.6,90,1.7,518,14.9,0.51,2.0,0.0,2.0,Autumn,No Holiday,Yes,23
11580,2018-02-11,2,Sunday,1,2,Dawn,-7.0,42,1.6,2000,-17.7,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,93
12042,2018-04-28,4,Saturday,1,5,Dawn,10.9,81,1.7,348,7.7,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,152
12448,2018-06-25,6,Monday,0,15,Afternoon,32.7,31,1.7,1243,13.3,2.3,0.0,0.0,0.0,Summer,No Holiday,Yes,1184
10931,2018-10-13,10,Saturday,1,5,Dawn,6.7,81,1.1,1467,3.6,0.0,0.0,0.0,0.0,Autumn,No Holiday,Yes,148
15928,2018-01-23,1,Tuesday,0,22,Night,-13.9,45,4.0,2000,-23.2,0.0,0.0,0.09,0.09,Winter,No Holiday,Yes,117
15136,2018-04-24,4,Tuesday,0,18,Evening,14.1,43,1.6,2000,1.6,0.36,0.0,0.0,0.0,Spring,No Holiday,Yes,2318
11065,2018-08-30,8,Thursday,0,7,Early Morning,24.3,96,1.4,1025,23.6,0.04,0.0,0.0,0.0,Summer,No Holiday,Yes,771
13792,2017-12-05,12,Tuesday,0,17,Afternoon,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,529
16655,2018-10-12,10,Friday,0,8,Early Morning,6.0,64,1.1,1920,-0.3,0.42,0.0,0.0,0.0,Autumn,No Holiday,Yes,1996
14423,2017-12-27,12,Wednesday,0,14,Afternoon,-4.0,18,2.4,2000,-24.8,1.09,0.0,0.0,0.0,Winter,No Holiday,Yes,231
13084,2018-02-25,2,Sunday,1,7,Early Morning,-1.0,47,0.9,1552,-10.9,0.0,0.0,0.0,0.0,Winter,No Holiday,Yes,77
11724,2018-05-02,5,Wednesday,0,1,Dawn,19.6,75,2.1,392,15.0,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,413
15470,2018-04-26,4,Thursday,0,5,Dawn,10.2,73,0.8,1137,5.5,0.0,0.0,0.0,0.0,Spring,No Holiday,Yes,180
